sku,name,price,qty,year,capacitate_motor,power,horsepower,engcode,is_in_stock,attribute_set,type,store,att_eby_title,att_eby_subtitle,description,manage_stock,use_config_manage_stock,status,visibility,tax_class_id,thumbnail,small_image,image,media_gallery,att_amz_title,categories,marca_masina,model_auto,motorizare,carcolor
630426,MOTOR -  A4,1413,1,1998,1800-2000 cmc,81,110,WAUZZZ8DZXA067466,1,Bloc Motor,simple,admin,MOTOR,MOTOR Subtitle,"1998, 1896CC, 81KW, 110CP, WAUZZZ8DZXA067466",1,1,1,"Catalog, Search",None,,,,,amz_title,ANEXE MOTOR,AUDI," A4"," Diesel",
630427,MOTOR -  A6,1530,1,2000,1800-2000 cmc,81,110,WAUZZZ4BZYN135429,1,Bloc Motor,simple,admin,MOTOR,MOTOR Subtitle,"2000, 1896CC, 81KW, 110CP, WAUZZZ4BZYN135429",1,1,1,"Catalog, Search",None,,,,,amz_title,ANEXE MOTOR,AUDI," A6"," Diesel",
630428,MOTOR -  520I,1800,1,1997,1800-2000 cmc,110,150,WBADH12020BY52008,1,Bloc Motor,simple,admin,MOTOR,MOTOR Subtitle,"1997, 1951CC, 110KW, 150CP, WBADH12020BY52008",1,1,1,"Catalog, Search",None,,,,,amz_title,ANEXE MOTOR,BMW," 520I",Benzina,
630429,MOTOR -  XSARA PICASSO,1530,1,2002,1800-2000 cmc,66,90,VF7CHRHYB39330003,1,Bloc Motor,simple,admin,MOTOR,MOTOR Subtitle,"2002, 1997CC, 66KW, 90CP, VF7CHRHYB39330003",1,1,1,"Catalog, Search",None,,,,,amz_title,ANEXE MOTOR,CITROEN," XSARA PICASSO",Benzina,
630430,"MOTOR - FOCUS 1 ",1417.5,1,1999,1200-1600 cmc,74,100,WF0AXXGCDAXE14405,1,Bloc Motor,simple,admin,MOTOR,MOTOR Subtitle,"1999, 1596CC, 74KW, 100CP, WF0AXXGCDAXE14405",1,1,1,"Catalog, Search",None,,,,,amz_title,ANEXE MOTOR,"FORD ","FOCUS 1 ",Benzina,
630431,MOTOR -  FOCUS 1,1800,1,2004,1600-1800 cmc,85,115,WF0BXXGCDB4A59653,1,Bloc Motor,simple,admin,MOTOR,MOTOR Subtitle,"2004, 1753CC, 85KW, 115CP, WF0BXXGCDB4A59653",1,1,1,"Catalog, Search",None,,,,,amz_title,ANEXE MOTOR,FORD," FOCUS 1"," Diesel",
630432,MOTOR -  FOCUS 1,1530,1,2003,1600-1800 cmc,74,100,WF0AXXGCDA3J45658,1,Bloc Motor,simple,admin,MOTOR,MOTOR Subtitle,"2003, 1753CC, 74KW, 100CP, WF0AXXGCDA3J45658",1,1,1,"Catalog, Search",None,,,,,amz_title,ANEXE MOTOR,FORD," FOCUS 1"," Diesel",
630433,MOTOR -  FOCUS 1,1530,1,2003,1600-1800 cmc,55,75,WF0NXXGCDN3L46597,1,Bloc Motor,simple,admin,MOTOR,MOTOR Subtitle,"2003, 1753CC, 55KW, 75CP, WF0NXXGCDN3L46597",1,1,1,"Catalog, Search",None,,,,,amz_title,ANEXE MOTOR,FORD," FOCUS 1"," Diesel ",
630434,"MOTOR -  FOCUS 1 ",1800,1,2000,1600-1800 cmc,66,90,WF0NXXGCDNYY47105,1,Bloc Motor,simple,admin,MOTOR,MOTOR Subtitle,"2000, 1753CC, 66KW, 90CP, WF0NXXGCDNYY47105",1,1,1,"Catalog, Search",None,,,,,amz_title,ANEXE MOTOR,FORD," FOCUS 1 "," Diesel",
630435,MOTOR -  MONDEO 3,1417.5,1,2001,1600-1800 cmc,92,125,WF05XXGBB51D82644,1,Bloc Motor,simple,admin,MOTOR,MOTOR Subtitle,"2001, 1798CC, 92KW, 125CP, WF05XXGBB51D82644",1,1,1,"Catalog, Search",None,,,,,amz_title,ANEXE MOTOR,FORD," MONDEO 3"," Benzina",
